,CB_Metadata,CB_Plot,CB_Poster,CF_Item,CF_User,Ensemble,LFM,Genres
0,0.462930781562444,0.5596341016482773,0.5157361875036923,0.7135024367189057,0.7113373266084497,0.7998613167994921,0.7992346389580636,Romance
1,0.45464542300426736,0.4736945558724879,0.5326930531618387,0.7417016103338325,0.7549427439646976,0.8249875443098946,0.8242288936888661,Science Fiction
2,0.4207734378348864,0.5169943799172467,0.5287605670451958,0.7285850562766876,0.7520344243949639,0.8189514408325441,0.8181082524792278,Crime
3,0.44672038270693953,0.5573256288165072,0.5111486962059372,0.7351398812391114,0.7607387670106587,0.8390603494088638,0.8381489038444611,Adventure
4,0.4572250463940223,0.5182418331684261,0.4955914556552957,0.72603292449294,0.758534793385019,0.822607087226219,0.8221419730411594,Drama
5,0.4746771026571634,0.5114239525735588,0.505523737331817,0.7380473861643131,0.7541175465869471,0.8231148527795558,0.8227037974204071,Comedy
6,0.4533732808239967,0.5443014993497844,0.47544867694959175,0.755769565644979,0.7727560986224677,0.8502704893008601,0.8494687842292241,Action
7,0.4133846429210668,0.4977824468056256,0.48068047577981343,0.7487780751853599,0.7700674726502541,0.8368174495989065,0.8363952302694024,Thriller
8,0.4448130110281332,0.5308031203734762,0.5135390771094986,0.7492541150576768,0.7634336102346726,0.8407925975060664,0.8401400956558072,Horror
9,0.5071250321174331,0.5074033832042198,0.5306375121542443,0.7023956666235636,0.7397007998710265,0.7940676372149105,0.7936125352871928,Documentary
